on	man
le critique	Rezension
le plumage	Gefieder
pincer	kneifen, zwicken
l'abstinence (f)	Abstinenz, Enthaltsamkeit
la ruelle	Gasse
Altwies	Altwies
provisoire, temporaire	Interim-, provisorisch
l'astrologue (m/f)	Astrologe, Sterndeuter
le lamier	Taubnessel
l'aloès (f)	Aloe
bactériophage	Bakteriophage
Hercule (m)	Herkules
l'éponge (f)	Schwamm
Singapour	Singapur
Bastogne	Bastnach
la thèse	These
hélium (m)	Helium
l'accompagnement (m)	Begleitung; Geleit
le rébus	Bilderrätsel; Rebus
le Marocain	Marokkaner
grassette des Alpes	Alpen-Fettkraut
l'amphibie (m)	Amphibie, Lurch
le serviteur	Bursche, Diener, Gehilfe
l'arbuste (m)	Gebüsch, Staude, Strauch
le faucon	Falke
affranchissement	Entsatz
le léopard	Leopard
l'électron (m)	Elektron
hydrogène (m)	Wasserstoff
la Sicile	Sizilien
l'ortie (f)	Brennessel
la Mandchourie	Mandschurei, die Mandschurei
jaillir	spritzen
parsemer	zerstreuen; ausschütten, streuen, verschütten; punktieren
manier	handhaben, manipulieren
angolais	angolanisch
le rite	Ritus
le Turkménistan	Turkmenistan
l'invasion (f)	Invasion
la nostalgie	Heimweh
boucler	gürten, umgürten, umringen
ramper	kriechen
le multiple	Vielfaches
la stratégie	Strategie
ravir	rauben, berauben, plündern; bezaubern, entzücken, verzücken; anmuten
le photographe	Photograph
l'ail (m)	Knoblauch, Lauch
l'antilope (f)	Antilope
la propagande	Propaganda
l'analogie (f)	Analogie
le Monaco	Monaco
hymen (m)	Jungfernhäutchen, Schutzhäutchen, Hymen
astéroïde	Asteroide
la fable	Fabel
gonfler	schwellen, strotzen
le glaïeul	Siegwurz, Gladiole
le Nabuchodonosor	Nebukadnezer
étouffant	erstickend, schwül, Stick-, stickig
la Guinée Equatoriale	Äquatorialguinea
la charpente	Gebälk
bolivien	bolivianisch
le Saxon	Sachse
bazar	Basar, Markt, Warenhaus
la collision	Kollision
verser	gießen, schütten
approbatif, approbateur	billigend
la moule	Miesmuschel
le laiton	Messing
la fortune	Verhängnis, Schicksal, Fatum, Geschick; Reichtum; Fügung, Los
l'archipel (m)	Inselgruppe, Archipel; Inselmeer
le frêne	Esche
l'axiome (m)	Axiom, Grundsatz, Grundwahrheit
le lest, le ballast	Ballast
la feuille de métal	dünne Platte, dünne Schicht
le corsage	Korsage, Mieder, Leibchen
imparfait	unvollkommen
polonais	polnisch
illettré	nicht alphabetisiert
le lichen	Flechte
le poignet	Handgelenk
la devise, l'épigraphe (f)	Motto
l'abricotier (m)	Aprikose, Marille, Aprikosenbaum
rompre	brechen, abbrechen, aufbrechen
le contrôleur	Aufseher, Führer, Schaffner
la vitesse	Eile, Geschwindigkeit, Hast
démanger	jucken
baratter	buttern
l'érable (m)	Ahorn
la précaution	Vorsorge; Umsicht
le Cerbère	Höllenhund, Zerberus
la nouvelle	Novelle
l'abnégation (f)	Aufopferung, Entsagung, Verleugnung
taïs, siamois, taïlandais	thailändisch
le condom, le préservatif	Pariser, Kondom
le comble	First, Gipfel, Wipfel; Sparren
l'alibi (m)	Alibi
la phase	Phase
la brèche	Bresche, Lücke
l'avoine (f)	Hafer
l'oasis (f)	Oase
l'Ariane (f)	Ariadne
l'absolutisme (m)	Absolutismus
le mamelon	Brustwarze
hyène (f)	Hyäne
l'imbécile (m)	Imbezille
le patriote	Patriot
l'oubli (m)	Vergessenheit
l'observation (f)	Ermahnung, Zuspruch; Aufsicht; Anschauung; Bemerkung, Beobachtung, Vermerk
le Saint-Marin	San Marino
la jungle	Dschungel
le fiel, la bile	Galle
le quartz	Quarz
lupine, louve	Wölfin
apprivoiser	zähmen
le pédophilie	Pädophilie
s'allumer	entbrennen, zünden
hangar (m)	Flughalle, Hangar
gronder	vermahnen, zureden; bevorstehen, drohen; brausen, sausen, zischen; schelten, vorwerfen, Vorwürfe machen
Basque	baskisch
Hindou (m)	Hindu
le rameau	dünner Zweig, Ästchen; Wedel
au moyen de	durch, mit, vermittels
la Babylone	Babylon
pâquerette de Micheli	Alpen-Maßlieb
l'ambulance (f)	Ambulanz
le Caïn	Kain
le luxe	Aufwand, Luxus
la maison royale, la dynastie	Dynastie, Herrschergeschlecht
prussien	preußisch
relâcher	verankern; befreien, entledigen, erledigen, freilassen, frei machen
broyer, piler	kleinstoßen, zermalmen, zerstampfen, zerstoßen
dévoyer	verführen, verlocken
l'alchimie (f)	Alchemie, Alchimie
le myriapode	Skolopender, Bandassel, Tausendfuß
le Tibre	Tiber
le piège	Falle
le lac de Garde	Gardasee
ampère	Ampère
adjudication	Lieferungsausschreibung, Verdingung
être en feu	brennen, glühen
séneçon	Greiskraut, Kreuzkraut
la Gaule	Gallien
la craie	Kreide
hérisser	anfeuern, aufregen, anregen, ermutigen, erregen; verstrubbeln, sträuben; ärgern, erbittern, erzürnen
le plâtre	Gips
se lamenter	jammern, lamentieren
bafouilleur, bègue	Stotterer
le bordel	Bordell
le ski	Schi
la tâche, le devoir	Arbeit, Aufgabe, Pensum
saboter	sabotieren
sans faute	absolut, ausdrücklich, durchaus, unausbleiblich, unfehlbar
l'incendie (m)	Großbrand, Feuersbrunst
le crochet	Angel, Haken
raccommoder, boucher	stopfen, verstopfen, zustopfen
anabaptiste	Wiedertäufer
le foin	Heu
la boisson, la consommation	Getränk, Trank
le végétal	Gewächs
l'amputation (f)	Amputation
la ficelle	Strippe
drainer	drainieren, entwässern
le pinceau	Pinsel, Quast
la groseille	Stachelbeere; Johannisbeere
le bar	Schranke; Büfett, Schankraum
gypaète	Lämmergeier
la gloire	Berühmtheit; Verdienst; Prestige, Ansehen, Geltung
le triomphe	Triumph
la Toussaint	Allerheiligen
la foule	Gedränge; Haufen, Menge, Stapel
la rentrée, le retour	Wiederkehr
l'automate (m)	Automat
le rectangle	Rechteck
le Chilien	Chilene
haie (f)	Hecke
la possession	Ansiedlung, Kolonie; Besitz, Besitztum, Besitzung, Eigentum, Gut
commander	bestellen; anordnen, befehlen, gebieten, verordnen, vorschreiben
crier	blöken, brüllen, quaken, wiehern; schreien
la valise	Handkoffer
le renne	Rentier
la machine à écrire	Schreibmaschine
faux-buis	Alpen-Zwergbuchs
belladone	Tollkirsche
bactériologiste	Bakteriologe
le Bruxelles	Brüssel
la descendance	Generation, Nachkommenschaft, Nachwuchs
l'Euphrate (m)	Euphrat
le zéro	Null
marocain	marokkanisch
assimiler	ähnlich machen, assimilieren
appétissant	appetitlich
saxifrage	Steinbrech
hydre	Hydra, Wasserschlange
l'autocrate (m)	Autokrat, Selbstherrscher
rédiger	redigieren, stilisieren
ayant le mal de l'air	luftkrank
l'anecdote (f)	Anekdote
le testicule	Hoden
aboulique	willenlos
le couvent	Kloster
le coussin d'air	Luftkissen
letton	lettisch
faillible	fehleranfällig, fehlbar
Hippocrate (m)	Hippokrates
le bison	Bison
antichambre	Warteraum, Wartesaal
la citerne	Behälter, Zisterne
l'Assyrien (m)	Assyrer
le mal de mer	Seekrankheit
gratter	kratzen, ritzen; schaben, radieren
entraîner	abtragen, fortbringen, wegtragen; zusammenziehen
la mystique	Mystik
l'ambiance (f)	Atmosphäre, Stimmung
saturer	sättigen
l'épine (f)	Dorn, Stachel; Rückgrat
le mortier	Mörtel
le façade	Fassade
la Corse	Korsika; Korsin
le mandat	Auftrag, Mandat
le Berlinois	Berliner
daltonnien	farbenblind
l'iris (m)	Schwertlilie
la transition, le passage	Übertritt
le fossé	Graben
la caserne	Kaserne
ligustique mutellina	Alpen-Mutterwurz
la Brême	Bremen
dériver	ableiten, herleiten
le mica	Glimmer
Achéron	Acheron
la pyramide	Pyramide
la girafe	Giraffe
anode	Pluspol, Anode
désobéissant	widerspenstig
l'éruption (f)	Ausbruch, Eruption
la fougère	Farn, Farnkraut
Bernister	Rotenberg
bâtonner	prügeln
l'auberge (f)	Herberge, Wirtschaft, Wirtshaus
la Fortune	Fortuna
primaire	elementar
l'acacia (m)	Akazie
dévaluer	abwerten
l'arc (m)	Bogen, Bügel
le verbe	Verb, Zeitwort
le poids	Gewicht, Wucht
aromatique	wohlriechend, aromatisch
endurer, souffrir	aushalten, dulden, erdulden, ertragen, leiden, erleiden
Ensisheim	Ensisheim
le képi	Käppi
le strontium	Strontium
le flocon de neige	Schneeflocke
le rayon	Brett, Regal, Wandbrett; Strahl; Halbmesser, Radius, Speiche; Strahlen, Halbgerade, Radioapparat, Radio, Radiogerät, Rundfunkempfänger, Rundfunkgerät
pourrir	faulen, verfaulen, vermodern, verwesen
aiglefin	Schellfisch
l'imprimerie (f)	Typographie
foncer	trüben, verdunkeln
tisser	schlingen, winden, flechten; weben, wirken
translucide	durchscheinend
massif	massiv
la ramure	Geweih
la présentation	Beitritt
l'aphorisme (m)	Gedankensplitter
la mésange	Meise
inerte	träge; entseelt
le spectacle de variété	Varieté, Varietéprogramm
la belette	Wiesel
lyncher	lynchen
le droguiste	Drogist
aconit tue-loup	Wolfs-Eisenhut
dorer	vergolden
l'ambroisie (m)	Ambrosia, Götterspeise
le goudron	Teer
asthmatique	asthmatisch
le balancier	Pendel
épargner, économiser	erübrigen, sparen, ersparen
ultra-moderne	supermodern, ultramodern
le Mammon	Mammon
la Galles, le pays de Galles	Wales
l'objection (f)	Einwand, Widerrede
artériel	arteriell
approuver	billigen, genehmigen, gutheißen
le succès	Erfolg, Gelingen
la maison close, le lupanar	Bordell
le Cicéron	Cicero
gracieux	graziös, hold, zierlich
le Gange	Ganges
monégasque	monegassisch
le rame de papier	Ries
le tarif	Tarif
le typhus	Typhus
l'Arménienne (f)	Armenierin
l'autodafé (m)	Glaubensgericht, Glaubenshandlung
l'anguille (f)	Aal
obscurcir	verdunkeln, verfinstern
l'inceste (m)	Inzest
la loterie	Lotterie, Lotto, Tombola
le Néo-Zélandais	Neuseeländer
le Flamand	Flame
aster	Aster
gymnadène blanchâtre	Alpen-Weißzunge
déclarer	deklarieren
berlinois	berliner, berlinerisch
le lieutenant	Leutnant
la cretonne	Cretonne
la torture	Marter, Pein, Tortur, Qual, Folter
soudanais	sudanesisch
la parenthèse	Klammer
le navet	Kohlrübe
astérie	Seestern
le talon d'Achille	Achillesferse
sans doute	zweifelsohne
l'Atlantide (f)	Atlantis
le plafond	Decke, Zimmerdecke
le cygne	Schwan
abouler, bailler	erteilen, geben, herreichen
trèfle des Alpes	Alpen-Klee
la solidarité	Solidarität
avant-garde	Vorausabteilung, Vortrupp, Trendsetter, Späher, Avantgarde, Spähabteilung
le monstre	Ungeheuer, Ungetüm, Unhold
la sole	Seezunge
Enscherange	Enscheringen
la peluche	Plüsch
anarchique	anarchistisch
Bas-Rhin	Unterelsaß
le scrupule	Skrupel
la noix	Walnuss; Nuss
la rainure	Einschnitt
le tableau d'affichage, le panneau d'affichage	Anschlagbrett, Anschlagebrett
tendre un piège, comploter	auflauern, nachstellen
la violette	Veilchen
campanule barbue	Bärtige Glockenblume
tapisser	tapezieren; beziehen, überziehen
rosage	Almrausch
baragouin	verworrenes Gerede, Galimathias, Kauderwelsch
le pavé	Pflaster
la Bermudes	die Bermudas
le Japonais	Japaner
méditerranéen	mittelmeerisch
le parasite	Parasit, Schmarotzer
Nobressart	Elcheroth
dorien, dorique	dorisch
hypothécaire	hypothekarisch
l'Aryen (m)	Arier
le tribunal	Tribunal
la cuisse	Schenkel, Oberschenkel
hysope (f)	Ysop
l'orgasme (m)	Höhepunkt, Orgasmus
le renard	Fuchs
la compagnie	Gesellschaft; Rotte, Kompanie
marcher dans l'eau	waten
se débattre	sich sträuben, zappeln
Lembecq	Lembeck
l'enterrement (m)	Begräbnis; Beisetzung
le whisky	Whisky
les guillemets	Anführungsstriche, Gänsefüßchen, Anführungszeichen
la Galicie	Galizien
accourir	herbeilaufen
prêcher	predigen
laïque	nichtkirchlich; laienhaft
l'avance (f)	Fortkommen
l'arrière-petit-fils (m)	Großenkel, Urenkel
la morphine	Morphium
la visite	Besuch, Visite
stimuler	anregen, reizen, anreizen, stimulieren
le débarcadère	Landungsbrücke, Bootssteg
croate	kroatisch
le rat	Ratte
la Forêt-Noire	Schwarzwald
Forbach	Forbach
adopter	adoptieren; auslesen, wählen, auswählen, erwählen; an Kindes statt annehmen
le Kremlin	der Kreml
Grenade	Grenada
le retraité	Emeritus
acclimatation, acclimatement	Gewöhnung, Akklimatisierung
la brique	Backstein, Ziegel, Ziegelstein
la sangsue	Egel, Blutegel
l'Adam (m)	Adam
l'Alep (m)	Aleppo
la Cypriote, la Chypriote	Zypriotin
le vieillard	Greis
discret	diskret, verschwiegen
la Genèse	Genesis
tourmenter	martern, peinigen, quälen
hurluberlu (m)	Wunderling
népalais	nepalesisch
la nageoire	Flosse
hectogramme (m)	Hektogramm
la municipalité	Magistrat
le tyran	Tyrann, Wüterich
la mélancolie	Melancholie, Schwermut, Tiefsinn, Trübsinn, Wehmut
frémir, frissonner	gruseln
abonder	reichlich vorhanden sein
le barbier	Barbier
raffiner	raffinieren, verfeinern
le pseudonyme	Pseudonym, Deckname
androsace de Suisse	Schweizer Mannsschild
récompenser	lohnen, belohnen, vergelten
l'entonnoir (m)	Trichter
le refrain	Refrain
avoir soif	dürsten
le Tage	Tajo
crépide dorée	Gold-Pippau
le crétin	Schwachsinniger
perséverer, persister	audauern, aushalten, beharren, bestehen, verharren
antimoine	Antimon, Antimonium
chamorchis des Alpes	Zwergorchis
le panorama	Aussicht, Panorama
le notaire	Notar
le propagandiste	Propagandist
les Dardanelles	Dardanellen
le bassin	Becken, Schale
le boa	Boa, Riesenschlange
la piété	Frömmigkeit, Gottesfurcht
daphné strié	Gestreifter Seidelbast, Steinröschen
la Vienne	Wien
la planète	Planet
l'échalas (m)	Pfahl, Zaunpfahl
les montagnes Rocheuses	Rocky Mountains
alterner	sich ablösen
certainement, assurément	allerdings, freilich, gewiss, immerhin, wohl, zwar
le Mathusalem	Methusalem
le pharmacien, l'apothicaire (m)	Apotheker
le tank	Panzer
horreur (f)	Abscheu
le préfet	Amtmann, Präfekt
gentiane des neiges	Schnee-Enzian
le grillon	Grille, Heimchen
l'achillée (f)	Schafgarbe
le prototype	Prototyp, Urbild
la mamelle	Brust, Mutterbrust
le maximum	Maximum
aine	Leiste (Anatomie)
le pieu	Pfeiler, Pfosten; Pfahl, Zaunpfahl
hygromètre (m)	Hygrometer, Feuchtigkeitsmesser
le dirigeable	Luftschiff
la paire	Paar, geordnetes Paar
le florin	Gulden
pleine, enceinte	schwanger, trächtig
le sceau	Siegel
le châle	Shawl, Umschlagetuch
la médaille	Medaille
le supplément	Supplementwinkel, Ergänzung, Supplement, Zusatz
la piqûre	Pik, Stich
l'allumette (f)	Streichholz, Zündholz
l'Argonaute (m)	Papierboot
le Diogène	Diogenes
admonester, exhorter	vermahnen, zureden
d'Afrikanders	kapholländisch, afrikanisch
le poignée de main	Händedruck
Mercure	Merkur
le limon, la bourbe	Schlamm
faire tournoyer	quirlen
diviser	entzweien, scheiden; dividieren, teilen, einteilen, gliedern, verteilen, zerlegen
le Pékin	Peking
acrostiche	Akrostikon
californien	kalifornisch
l'apiculture (f)	Bienenzucht
la Silésie	Schlesien
le Prussien	Preuße
gothique	gotisch
la pivoine	Pfingstrose
l'Australienne (f)	Australierin
la gouttière	Ausguss, Traufe
tozzie des Alpes	Gemeiner Alpenrachen
le Verseau	Wassermann
le babouin	Pavian
la mite	Motte
le puits de mine	Schacht
la tourterelle	Turteltaube
le sirop	Sirup
labourer	pflügen
accouplement	Union
généreux	freigebig; opferbereit, freigiebig
la providence	Vorsehung
trotter	traben, trotten
calomnier, diffamer	anschwärzen, fälschlich beschuldigen, verleumden
sceller	siegeln, versiegeln
le saule	Weide
l'étamine (f)	Staubblatt
l'Arménien (m)	Armenier
le protocole	Protokoll
accoucher	entbinden
about, la goupille	Stift
dominer	bewältigen, überflügeln, übersteigen, überragen, übertreffen; vorherrschen
wurtembergeois	württembergisch
l'accent circonflexe (m)	Zirkumflex
acaule	stengellos
hydrate (m)	Hydrat
pieux	fromm, gottesfürchtig
la laurier-rose	Oleander
avortement spontané	Fehlgeburt
atoll	Atoll
massacrer	massakrieren
l'astrologie (f)	Astrologie, Sterndeutung
le césium	Cäsium
étendre	verdünnen, verfälschen, panschen; ausbreiten, ausrecken, strecken, ausstrecken, erstrecken; betten; schmieren
la Poméranie	Pommern
le raifort	Meerrettich; Rettich
le soufre	Schwefel
manœuvrer, intriger	manövrieren
l'aérolithe (m)	Meteorstein
maussade	langweilig; brummig, unwirsch; widerwärtig; düster
le gnome	Gnom
dépenser	auslegen, verausgaben
le miel	Honig
le torse	Torso
le torchon	Wischtuch
scintiller	flackern; glitzern, flimmern
assoupir	einschläfern, betäuben
le pingouin	Pinguin
la Tunesie	Tunesien
le cèdre	Zeder
la pénitence	Buße
l'aérostat (m)	Ballon, Luftballon
absolument	absolut, unbedingt; ausdrücklich, durchaus, unausbleiblich, unfehlbar
l'embarras (m)	Verlegenheit, Problem, Enge, Not
abasourdir	betäuben; bestürzt machen, in Bestürzung versetzen, konsternieren
septique	septisch
acétone	Propanon, Azeton
patauger	paddeln; waten
le rhum	Rum
libyen	libysch
bavarois	bayerisch, bayrisch
le krypton	Krypton
le cognac	Kognak
la procession	Prozession
vider	ausleeren, entleeren
la coupe	Becher, Pokal
le rayon de rangement, l'étagère (f), la tablette	Brett, Regal, Wandbrett
accabler	überhäufen
le diagnostic	Diagnose
le diamant	Diamant
maladroit	unbeholfen
l'abcès (m)	Abszess; Eiterbeule, Geschwulst
raifort, radis noir, le radis noir	Rettich
animer	beseelen, beleben
le japonais, la langue japonaise	Japanisch, japanische Sprache
le cafard, la blatte	Schabe
potentille dorée	Gold-Fingerkraut
la Pandore	Pandora
le tourisme	Tourismus
cueillir	abreißen, losreißen, pflücken, abpflügen
le chardon	Distel
le fumier, l'engrais (m)	Dünger, Mist
le tunnel	Tunnel
la polémique	Polemik
refléter	reflektieren, rückstrahlen
le pavot	Mohn
jaunir	vergilben
rapporter	angeben, berichten, melden, referieren
le bulldozer	Bulldozer, Planierraupe
le risque d'accident	Unfallrisiko
le chiffre	Zahl, Zahlzeichen, Ziffer
la Polynésie	Polynesien
confier	anvertrauen; betrauen mit, Vertrauen setzen in, zutrauen
Hongrois (m)	Ungar
la verrue	Warze
le œillet	Nelke
inspecter	beaufsichtigen, inspizieren, mustern
la cantine	Kantine, Schenke
la mercerie	Kurzwaren, Kramware
la mèche	Docht
Hannibal (m), l'Annibal (m)	Hannibal
arrière-garde	Nachhut
l'accent (m)	Akzent, Betonung, Ton
depuis lors	fortan
le nid	Horst, Nest
mauricien	mauritisch, maurizisch
athénée	Athenäum
l'affixe (m)	Affix, Zusatzsilbe
balistique	Ballistik
le Cupidon	Amor
la faculté	Fakultät
le veuf	Witwer
barrer	hindern, sperren, versperren
la larve	Larve
la tentation	Versuchung
le liber	Bast
la mansarde	Dachstübchen, Mansarde
l'enthousiasme (m)	Begeisterung, Enthusiasmus
meubler	möblieren
la constellation	Sternbild
safran du printemps	Frühlings-Krokus
la portière	Wagentür
le cerisier	Kirschbaum
le Mexicain	Mexikaner
assainir	genesen
la rubrique	Rubrik
anémone du printemps	Frühlings-Küchenschelle
inédit, original	eigentümlich, originell
l'excès (m)	Ausschreitung, Exzess
le Deutéronome	Deuteronomium
atmosphèrique	atmosphärisch
le bas-relief	Basrelief
globulaire à feuilles en cœur	Kugelblume
l'aveu (m)	Bekenntnis, Beichte, Eingeständnis, Geständnis
étourdi	unüberlegt
la libellule	Libelle, Wasserjungfer
apostolat	Apostolat
bactériologique	bakteriologisch
bébête	blödsinnig, stumpfsinnig
galant	galant, zuvorkommend
la pompe	Gala, Gepränge, Parade, Staat; Pomp; Pumpe
la giroflée des murailles	Goldlack
l'occasion (f)	Begebenheit, Gelegenheit, Geschehnis, Ereignis, Fall, Vorfall
la Samarie	Samaria
le violoncelle	Violincello
commode, opportun	bequem, gelegen, gemächlich
horoscope (m)	Horoskop
associer	verbinden, verknüpfen
la casquette	Schirmmütze
le luth	Laute
aérolithe	Aerolith, Meteorit, Meteorstein
l'utérus (m)	Gebärmutter, Uterus
l'aliénation (f)	Wahnsinn
effacer	wegwischen; wischen
le Maltais	Maltese, Malteser
le merle	Amsel
l'Uruguay (m)	Uruguay
la dépense	Aufwand, Ausgabe, Auslage
coeloglosse verdâtre	Grüne Hohlzunge
le bossu	Buckliger
le bouillie, la purée	Brei, Mus
la seigneurie	Lehen; Eminenz, Erlaucht, Exzellenz, Hoheit, Majestät
l'angine (f)	Angina
l'abattant (m)	Klappe
gazouiller, pépier	piepen, zwitschern
entourer	umringen, umzingeln
la commode	Kommode
le grillage	Drahtgitter; Gatter, Gitterwerk
la rédaction	Redaktion; Redigierung
andorran	andorranisch
prêter serment, jurer	beeidigen, schwören, beschwören
Guebwiller	Gebweiler
l'égyptologue (m)	Ägyptenforscher, Ägyptologe
le murmure	Gemurmel, Murmeln, Murren
la peseta	Pesete
le théisme	Theismus
le papier buvard	Löschpapier
le persil	Petersilie
circuler	umlaufen, zirkulieren; umgehen
affluent	Nebenfluss
Djibouti	Dschibuti
couler	fließen, rinnen, strömen
le quai	Kai
l'analphabète (m/f)	nicht alphabetisiert; Analphabet
joubarbe aranéeuse	Spinnweben-Hauswurz
le Ghana	Ghana
garder	hüten, behüten, bewachen, überwachen
le Brabant	Brabant
les Apennins	Apenninen
le régiment	Regiment
la plate-forme, la plate-bande	Beet
l'écaille (f)	Schuppe
la poudre à canon	Pulver, Schießpulver
la baronne	Freifrau
le géomètre, l'arpenteur (m)	Geodät, Feldmesser, Landmesser; Geometer
la chauve-souris	Fledermaus
le Benelux	Benelux
albino	Albino
tchèque	tschechisch
le Pakistanais	Pakistaner
l'Alexandrie (f)	Alexandria
epervière velue	Woll-Habichtskraut
héraut (m)	Verkündiger, Ausrufer, Herold
rosier des Alpes	Alpen-Rose
céder	abtreten, nachgeben, weichen
le ciment	Zement
fanfarroner, faire le malin	ausposaunen, brüsten, prahlen, renommieren
la queue	Stengel; Fahne, Lunte, Schleppe, Schweif, Wedel
l'Asie Mineure (f)	Kleinasien
le Gédéon	Gideon
Delle	Dattenried
anatomiste	Anatom
l'accompagnateur (m)	Gefährte
la domestique, la servante	Dienstbotin, Magd
tramer	weben, wirken
la tradition	Tradition, Überlieferung
le prolétaire	Proletarier
le Nemrod	Nimrod
l'accomplissement (m)	Ausführung
l'aorte (f)	Aorta, Hauptschlagader
l'Algérien (m)	Algerier
le disque	Diskus, Wurfscheibe
la filiale, la succursale	Filiale, Nebengeschäft, Zweigniederlassung
le travail manuel	Handarbeit
l'Orphée (m)	Orpheus
l'aérateur (m)	Ventilator
le chiendent	Quecke
honorable	ehrbar
le bubale, le buffle	Büffel
le crocodile	Krokodil
la paille	Stroh
la cicatrice	Narbe
le militant, le combattant	Kämpfer
rosage hérissé, rhododendron hérissé	Rauhblättriger Almrausch
primevère farineuse	Mehl-Primel
trèfle	Klee
l'Achille (m)	Achilles
le citronelle	Zitronenkraut, Stabwurz
vietnamien	vietnamesisch
la Tunis	Tunis
le sabre	Säbel
la Géorgie	Georgien
à deux	zu zweien
l'inquiétude (f)	Angst, Unruhe
la plante	Fußsohle, Sohle; Anlage, Pflanzen, Anpflanzen, Pflanzung, Anpflanzung
le pessimiste	Pessimist
le lyrisme	Lyrik
le rang	Amtswürde, Grad, Rang, Stand, Würde; Kette, Reihe, Reihenfolge, Tour
le cactus	Kaktus
astérisque	Sternchen
renoncule des montagnes	Berg-Hahnenfuß
la sentence	Denkspruch, Sentenz, Spruch; Verdikt, Wahrspruch
le Moldave	Moldauer
la Lettonie	Lettland
chou rouge	Rotkraut
le comte	Graf
barbarisme	Barbarismus, Sprachwidrigkeit, grober sprachlicher Fehler, Barbarentum
l'Afghanistan (m)	Afghanistan
amazone	Amazone
Asselscheuerhof	Asselscheuerhof
le Bulgare	Bulgare
rester en arrière	zurückbleiben
la dyspepsie	Verdauungsstörung, Magenverstimmung
amandier à fruits amers	Bittermandel, Bittere Mandel, Bittermandelbaum
la flûte	Flöte
empêtrer, entortiller	einwickeln, hineinziehen, verwickeln
le rubidium	Rubidium
tirer au sort	losen
l'écureuil (m)	Eichhörnchen
Indienne	Indianerin
le chaume	Stoppel
le Libéria	Liberia
pain de pourceau	Alpenveilchen, Erdscheibe
bégueule	prüde, zimperlich
la blouse longue	Kittel
l'estrade (f)	Podium
retors	abgefeimt, verschlagen, verschmitzt
la ménagerie	Tierschau, Menagerie
l'edelweiss (m), étoile des Alpes	Edelweiß
moldave	moldauisch
trier	absondern, abteilen, abtrennen, scheiden; klassifizieren; selektieren
le rossignol	Nachtigall
le salami	Dauerwurst, Rotewurst, Salami
grassette	Fettkraut
le descendant, le successeur	Abkomme, Abkömmling, Epigone
l'ion (m)	Ion
le noyau	Kern, Obststein
banqueroute	Bankrott, Konkurs, Pleite
peureux, timide	bang, zaghaft
hussard (m)	Husar
le Capricorne	Steinbock
l'ardoise (f)	Schiefer, Schiefergestein
le congrès	Kongress
parader	paradieren, stolzieren, Parade machen
le fruitier	Obstbaum
minimum	minimales (Element)
le Monténégro	Montenegro
l'Andalousie (f)	Andalusien
pacifier	besänftigen, dämpfen, züchtigen; befrieden
la psychanalyse	Psychoanalyse
la boucle de vêtement	Schnalle, Spange
crever	bersten, platzen, zerplatzen, zerspringen
bombarder	beschießen, bombardieren
la perdrix	Rebhuhn
l'enchantement (m), le sortilège	Zauber, Zaubern
la pieuvre	Polyp
conscient	wissentlich
le flaque	Lache, Pfütze
l'incident (m)	Zwischenfall, Vorfall
le vase	Behälter, Gefäß, Vase
l'acajou (m)	Mahagoni, Mahagoniholz
noble, élevé	edel, edelmütig, erhaben
l'igname (f)	Jamswurzel
le refuge	Asyl, Zufluchtsstätte, Zufluchtsort, Freistatt; Freistätte, Hospiz, Zuflucht; Hort
albanais	albanisch
conforme	gleich, entsprechend, konform
souple	elastisch, federnd; gefügig, geschmeidig
le continent	Erdteil, Festland, Kontinent
hareng (m)	Hering
le Viêt-nam	Vietnam
le commissariat	Polizeiamt, Polizeiwache
la Flandre	Flandern
trébucher	stolpern
brandir	schlingen, schwingen
la plante du pied	Fußsohle, Sohle
primevère auricule	Gamsblume, Alpenaurikel
le pardon	Begnadigung, Vergebung, Verzeihung
l'oursin (m)	Seeigel
le sphinx	Sphinx
gentiane ponctuée	Tüpfel-Enzian
pédiculaire tronquée	Gestutztes Läusekraut
la Somalie	Somalia
l'intrigue (f)	Umtrieb, Intrige; Manöver
avantageux, interéssant	vorteilhaft
l'intuition (f)	instinktives Erfassen, Intuition
la vigne	Rebe, Weinstock
la kermesse	Kirtag, Kirmes, Kirchweih
mongol	mongolisch
béjaune	Grünschnabel
babeurre	Buttermilch
la douane	Zollamt
la voûte	Gewölbe
les Vosges	die Vogesen
la caille	Wachtel
la lentille	Linse
saxifrage faux Aizoon	Fetthennen-Steinbrech
la golfe Persique	Persischer Golf
le Liban	Libanon
le fléau de balance	Schulterjoch, Wagebalken
liquider	abrechnen, liquidieren
la pomme de pin	Kegel, Konus; Zapfen
houblon (m)	Hopfen
incalculable	zahllos
choquer	Anstoß erregen
effleurer	leicht berühren, streifen
l'Aztèque (m)	Azteke
le Togo	Togo
renoncule des glaciers	Gletscher-Hahnenfuß
l'encyclopédie (f)	Enzyklopädie
arlequin, baladin	Narr, Hofnarr, Harlekin
aster des Alpes	Alpen-Aster
réciter	rezitieren, vortragen
la paupière	Augenlid
le firmament	Himmelszelt, Firmament
percer	bohren; lochen
le timbre à cachet	Stempel
le seuil	Schwelle
arnica	Arnika
sémitique	semitisch
Angolais	Angolaner
le patin à glace	Schlittschuh
le basson	Fagott
le Messie	Messias
les Carpates	Karpaten
la moisson, la récolte	Ernte, Lese
la ballade	Ballade
la mosquée	Moschee
vaniteux	eitel, hinfällig
